station_id,name,latitude,longitude,station_type,transport_type,public_transport,transport_category
2301975485,"Emmelndorf, Hohlweg",53.4029451,9.9621837,stop_position,stop_position,stop_position,bus
2304172621,"Rübke, Kurzer Weg",53.4904646,9.7612211,bus_stop,bus,platform,bus
2304172622,"Rübke, Moorender Weg (Kehre)",53.4907294,9.7425135,bus_stop,bus,platform,bus
2305717514,"Buxtehude, Alter Postweg 25",53.4628026,9.7158073,stop_position,stop_position,stop_position,bus
2305717515,"Buxtehude, Alter Postweg 35",53.4617812,9.7179831,stop_position,stop_position,stop_position,bus
2305717516,Alter Postweg 81,53.4573724,9.7266721,stop_position,stop_position,stop_position,bus
2305717517,"Westmoorende, Buxtehuder Straße 108",53.4983102,9.720146,bus_stop,bus,platform,bus
2305717518,"Westmoorende, Goldaper Weg",53.5051069,9.7290217,bus_stop,bus,platform,bus
2305717696,"Buxtehude, Alter Postweg (Kehre)",53.4594549,9.722497,stop_position,stop_position,stop_position,bus
2305717697,"Buxtehude, Alter Postweg (Kehre)",53.4605517,9.7205818,stop_position,stop_position,stop_position,bus
2305717698,"Buxtehude, Vogelsang",53.4942693,9.7139983,bus_stop,bus,platform,bus
2306992184,Bf. Buxtehude (Süd),53.4703269,9.6880815,bus_stop,bus,platform,bus
2311090900,Bargteheider Straße (Nord),53.6140324,10.1556028,stop_position,stop_position,stop_position,bus
2311339698,Siemersplatz,53.6001989,9.9635327,stop_position,stop_position,stop_position,bus
2326335420,Marschkamper Deich,53.5150832,9.7942041,stop_position,stop_position,stop_position,bus
2327581106,"Schönningstedt, Alter Kamp",53.5285955,10.2575011,bus_stop,bus,platform,bus
2329110532,"Pinneberg, Mühlenstraße",53.6582418,9.7879485,stop_position,stop_position,stop_position,bus
2329110730,"Pinneberg, Mühlenstraße",53.659274,9.7867794,stop_position,stop_position,stop_position,bus
2329681549,"Garstedt, Achternfelde",53.6829781,9.9792993,stop_position,stop_position,stop_position,bus
2332192414,"Bullenhausen, Butendieksweg",53.4464115,10.0794825,bus_stop,bus,platform,bus
2332192416,"Fliegenberg, Steller Chaussee",53.4124248,10.1417847,bus_stop,bus,platform,bus
2332192417,"Hoopte, Katende",53.4020003,10.1555528,bus_stop,bus,platform,bus
2332192418,"Hoopte, Schleuse",53.4059656,10.1489497,bus_stop,bus,platform,bus
2332192421,"Over, Overdeich",53.4347983,10.096887,bus_stop,bus,platform,bus
2338867655,"Glinde, Am Sportplatz",53.5434985,10.2170777,stop_position,stop_position,stop_position,bus
2338867659,"Glinde, Am Sportplatz",53.5434773,10.2170468,bus_stop,bus,platform,bus
2344132356,"Rhen, Paracelsus-Klinik",53.7491955,10.0095217,stop_position,stop_position,stop_position,bus
2353128326,"Elmshorn, Parkweg",53.7378311,9.6519166,stop_position,stop_position,stop_position,bus
2356353729,Spadenländer Ecke,53.491124,10.0647832,bus_stop,bus,platform,bus
2356353730,Beim Avenberg,53.4712756,10.0824922,bus_stop,bus,platform,bus
2356411221,Sieversstücken,53.5806606,9.7872735,bus_stop,bus,platform,bus
2356411222,S Sülldorf,53.5803189,9.7975816,bus_stop,bus,platform,bus
2356411223,Blankeneser Friedhof,53.5760359,9.8029777,bus_stop,bus,platform,bus
2356411224,Blankeneser Friedhof,53.5765131,9.802368,bus_stop,bus,platform,bus
2356451214,Siebenbuchen,53.5735988,9.8065014,bus_stop,bus,platform,bus
2356451216,Siebenbuchen,53.5729671,9.8072173,bus_stop,bus,platform,bus
2356451217,Wulfsdal,53.5678193,9.8102267,bus_stop,bus,platform,bus
2356451218,Wulfsdal,53.5691292,9.8091977,bus_stop,bus,platform,bus
2356451219,S Blankenese,53.563496,9.8146273,bus_stop,bus,platform,bus
2356451220,S Blankenese,53.5636099,9.8135833,bus_stop,bus,platform,bus
2356451222,Darbovenstieg,53.5722087,9.8244804,bus_stop,bus,platform,bus
2356451223,Darbovenstieg,53.5718931,9.8243925,bus_stop,bus,platform,bus
2356451224,Sülldorfer Landstraße,53.5767858,9.8211051,bus_stop,bus,platform,bus
2356451225,Schenefelder Holt,53.5828742,9.8288803,bus_stop,bus,platform,bus
2356451228,Ebertallee,53.5671922,9.8882235,bus_stop,bus,platform,bus
2356451229,Ebertallee,53.568256,9.8868526,bus_stop,bus,platform,bus
2356451922,Ebertallee,53.567927,9.8875815,bus_stop,bus,platform,bus
2356482533,Böcklinstraße,53.5630515,9.8872656,bus_stop,bus,platform,bus
2356482534,Böcklinstraße,53.563043,9.8869725,bus_stop,bus,platform,bus
2356482536,S Othmarschen,53.5587357,9.8872462,bus_stop,bus,platform,bus
2356482540,S Othmarschen,53.5585646,9.8868971,bus_stop,bus,platform,bus
2356482543,S Othmarschen,53.5588085,9.8869793,bus_stop,bus,platform,bus
2356482547,S Othmarschen,53.558758,9.8867381,bus_stop,bus,platform,bus
2356512245,S Ottensen,53.5594235,9.9278323,bus_stop,bus,platform,bus
2356512250,S Ottensen,53.5593716,9.9277099,bus_stop,bus,platform,bus
2356512256,Bornkampsweg,53.5642321,9.9183429,bus_stop,bus,platform,bus
2356512260,Bornkampsweg,53.5636356,9.9193955,bus_stop,bus,platform,bus
2356512262,Bornkampsweg,53.5638858,9.9201421,bus_stop,bus,platform,bus
